customer_id,scenario,arrival_clock,arrival_hour,items,order_queue_wait_seconds,ordering_time_seconds,kitchen_queue_wait_seconds,food_prep_time_seconds,queue_wait_seconds,total_time_seconds,completion_clock
335,Self-Order Terminal (SOT),15:17:40,15.29,2,0.0,91.66045342868588,0.0,104.89283245319915,0.0,196.55328588188422,15:20:57
336,Self-Order Terminal (SOT),15:19:59,15.33,1,0.0,98.94761061703989,0.0,56.247947762416814,0.0,155.19555837945882,15:22:34
337,Self-Order Terminal (SOT),15:21:17,15.35,3,0.0,133.3511569370457,0.0,78.2606016300713,0.0,211.61175856711634,15:24:49
338,Self-Order Terminal (SOT),15:24:33,15.41,3,0.0,71.69922678645906,0.0,66.27296701005062,0.0,137.97219379650778,15:26:51
339,Self-Order Terminal (SOT),15:25:17,15.42,5,0.0,71.19456773996336,0.0,151.31867666733712,0.0,222.5132444073024,15:29:00
340,Self-Order Terminal (SOT),15:26:57,15.45,4,0.0,102.93626968776448,0.0,81.27080044654323,0.0,184.2070701343073,15:30:01
341,Self-Order Terminal (SOT),15:29:21,15.49,3,0.0,83.1285079902967,0.0,94.26811444058842,0.0,177.39662243088242,15:32:19
342,Self-Order Terminal (SOT),15:32:55,15.55,3,0.0,65.13668372883707,0.0,134.7226094717836,0.0,199.85929320062132,15:36:15
343,Self-Order Terminal (SOT),15:35:24,15.59,3,0.0,42.33740069876428,0.0,91.7313606211795,0.0,134.06876131994431,15:37:38
344,Self-Order Terminal (SOT),15:35:30,15.59,4,0.0,56.74905444745675,0.0,86.89818049092216,0.0,143.64723493838028,15:37:53
345,Self-Order Terminal (SOT),15:37:42,15.63,5,0.0,65.8850708573056,0.0,92.68040089409342,0.0,158.56547175139713,15:40:21
346,Self-Order Terminal (SOT),15:38:46,15.65,2,0.0,78.65533046888893,0.0,73.20798671268305,0.0,151.8633171815709,15:41:18
347,Self-Order Terminal (SOT),15:39:19,15.66,5,0.0,112.50775605803807,0.0,117.52961846566838,0.0,230.03737452370842,15:43:09
348,Self-Order Terminal (SOT),15:41:02,15.68,2,0.0,65.60056252212856,0.0,104.34855930665314,0.0,169.94912182878397,15:43:52
349,Self-Order Terminal (SOT),15:46:49,15.78,4,0.0,68.99324139392031,0.0,155.58289030945727,0.0,224.57613170337936,15:50:33
350,Self-Order Terminal (SOT),15:48:05,15.8,2,0.0,70.14160533232204,0.0,139.89136210465327,0.0,210.032967436975,15:51:35
351,Self-Order Terminal (SOT),15:49:41,15.83,3,0.0,87.3444374693875,0.0,144.31913044096592,0.0,231.66356791035287,15:53:33
352,Self-Order Terminal (SOT),15:53:51,15.9,1,0.0,111.05655549251014,0.0,54.23003188453501,0.0,165.28658737704245,15:56:36
353,Self-Order Terminal (SOT),15:58:45,15.98,4,0.0,74.54608634117912,0.0,127.9140717730639,0.0,202.4601581142415,16:02:08
354,Self-Order Terminal (SOT),15:59:49,16.0,2,0.0,63.65807674233286,0.0,92.40587306186809,0.0,156.0639498042001,16:02:25
355,Self-Order Terminal (SOT),16:01:10,16.02,3,0.0,61.75765261326084,0.0,83.45643189881868,0.0,145.21408451208117,16:03:35
356,Self-Order Terminal (SOT),16:03:38,16.06,2,0.0,65.66253295031936,0.0,103.0753916678893,0.0,168.7379246182063,16:06:26
357,Self-Order Terminal (SOT),16:05:42,16.09,3,0.0,77.83244502209918,0.0,64.84981678120776,0.0,142.68226180330748,16:08:04
358,Self-Order Terminal (SOT),16:05:58,16.1,1,0.0,67.57242547755504,0.0,73.05416881091804,0.0,140.6265942884711,16:08:18
359,Self-Order Terminal (SOT),16:12:15,16.2,2,0.0,57.02570178498625,0.0,151.36609419510305,0.0,208.39179598008923,16:15:43
360,Self-Order Terminal (SOT),16:16:47,16.28,2,0.0,81.44072493031774,0.0,77.71953515124889,0.0,159.16026008156769,16:19:26
361,Self-Order Terminal (SOT),16:17:00,16.28,2,0.0,44.72877233578528,0.0,77.12562938912762,0.0,121.85440172491508,16:19:02
362,Self-Order Terminal (SOT),16:20:30,16.34,1,0.0,47.214881626492,0.0,68.646063076382,0.0,115.86094470287208,16:22:26
363,Self-Order Terminal (SOT),16:22:23,16.37,1,0.0,61.68070970358715,0.0,85.44019123660696,0.0,147.12090094019368,16:24:50
364,Self-Order Terminal (SOT),16:28:33,16.48,2,0.0,40.45083436743213,0.0,86.93949849828628,0.0,127.39033286571794,16:30:40
365,Self-Order Terminal (SOT),16:30:31,16.51,3,0.0,98.4964230653334,0.0,73.96537240052278,0.0,172.46179546586063,16:33:23
